Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility,fam_income1
1,31,0,1,0,3,1,1,16,2,0,1,5,2,45,5,0,0,0,0,360,6,3,2,3,0,3,8,7,3,4,1,4,1,119235,20028,2,0,1,12
2,35,1,0,0,4,0,1,9,2,3,1,4,1,84,2,1,0,1,0,120,5,3,4,2,0,2,9,9,3,3,1,2,1,56995,12541,2,0,1,11
1,34,1,1,0,4,1,1,16,2,0,1,5,2,70,5,1,0,0,0,240,6,3,3,3,0,4,6,6,3,4,0,4,1,56995,12541,2,0,1,12
2,34,0,1,0,4,0,1,15,0,3,1,4,0,0,2,1,0,0,0,60,6,3,1,3,0,4,6,5,3,4,1,1,1,56995,12541,2,0,1,11
2,52,1,0,0,3,0,1,9,4,0,1,4,1,25,2,0,0,0,0,120,3,3,2,5,0,2,7,7,1,4,1,3,1,56995,12541,2,0,1,11
2,48,0,0,0,3,0,1,9,4,0,1,4,1,48,2,0,0,1,0,120,4,3,4,5,0,5,8,8,3,4,1,3,1,56995,12541,2,0,1,11
1,32,1,0,0,3,0,1,9,3,0,0,5,1,96,1,0,1,0,0,30,4,1,5,2,0,1,10,10,4,4,0,3,1,119235,20028,2,0,1,11
2,41,0,1,0,4,1,1,12,2,0,1,5,2,4,2,0,0,0,0,180,7,3,1,5,0,4,8,8,4,4,1,2,1,56995,12541,2,0,1,11
2,32,1,0,0,5,0,1,6,0,3,1,5,1,50,1,0,0,0,0,240,4,1,3,3,0,4,5,7,4,4,0,2,1,56995,12541,2,0,1,11
2,33,0,0,0,4,0,1,9,4,0,1,5,1,8,2,0,0,0,1,60,3,3,4,3,0,4,6,6,1,4,0,1,2,73675,16882,2,0,1,11
2,37,1,0,0,4,0,1,9,0,0,1,5,1,56,2,1,0,1,1,180,7,3,4,5,0,4,7,5,3,4,0,3,1,190313,34199,2,0,1,12
2,30,1,1,0,5,1,1,12,0,3,1,5,2,96,5,1,1,1,1,200,4,3,1,3,0,3,3,8,4,3,1,2,2,73675,16882,2,0,1,12
1,29,1,1,0,2,1,1,16,2,4,0,5,1,40,0,0,0,0,0,240,6,3,5,1,0,2,9,9,3,4,1,4,1,68775,14919,2,0,1,12
2,45,0,0,0,5,0,1,6,8,0,1,2,1,70,2,0,0,0,0,120,7,2,2,2,0,3,10,5,3,4,1,2,1,68775,14919,2,0,1,11
1,53,1,0,0,5,0,1,6,8,0,1,4,1,40,2,0,1,0,1,300,3,2,3,4,0,4,5,7,1,2,1,2,1,68775,14919,2,0,1,11
2,35,1,1,0,4,1,1,16,1,0,1,4,2,40,5,1,1,1,0,600,4,2,1,1,0,3,10,10,5,4,0,3,1,68775,14919,2,0,1,12
