Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
1,31,0,1,0,3,1,1,16,2,0,1,5,2,45,5,0,0,0,0,360,5.5,3,1.5,2.5,0,3,8,7,3,4,1,250000,4,1,119235,20028.09978,1.826555931,0.09558768,0.6302288
2,35,1,0,0,4,0,1,9,2,3,1,4,1,84,2,1,0,1,0,120,5,3,3.5,2,0,2,9,9,3,3,1,85000,2,1,56995,12541.2938,2.131687668,0.1480602,0.7503421
1,34,1,1,0,4,1,1,16,2,0,1,5,2,70,5,1,0,0,0,240,5.75,3,3,3,0,4,6,6,3,4,0,200000,4,1,56995,12541.2938,2.131687668,0.1480602,0.7503421
2,34,0,1,0,4,0,1,15,0,3,1,4,0,0,2,1,0,0,0,60,6.25,3,1,2.5,0,4,6,5,3,4,1,50000,1,1,56995,12541.2938,2.131687668,0.1480602,0.7503421
2,52,1,0,0,3,0,1,9,4,0,1,4,1,25,2,0,0,0,0,120,3,3,2,4.5,0,2,7,7,1,4,1,40000,3,1,56995,12541.2938,2.131687668,0.1480602,0.7503421
2,48,0,0,0,3,0,1,9,4,0,1,4,1,48,2,0,0,1,0,120,4.25,3,3.5,5,0,5,8,8,3,4,1,40000,3,1,56995,12541.2938,2.131687668,0.1480602,0.7503421
1,32,1,0,0,3,0,1,9,3,0,0,5,1,96,1,0,1,0,0,30,3.75,1,5,2,0,1,10,10,4,4,0,80000,3,1,119235,20028.09978,1.826555931,0.09558768,0.6302288
2,41,0,1,0,4,1,1,12,2,0,1,5,2,4,2,0,0,0,0,180,7.25,3,1,5,0,4,8,8,4,4,1,65000,2,1,56995,12541.2938,2.131687668,0.1480602,0.7503421
2,32,1,0,0,5,0,1,6,0,3,1,5,1,50,1,0,0,0,0,240,4.25,1,2.5,3,0,4,5,7,4,4,0,73000,2,1,56995,12541.2938,2.131687668,0.1480602,0.7503421
2,33,0,0,0,4,0,1,9,4,0,1,5,1,8,2,0,0,0,1,60,2.5,3,4,2.5,0,4,6,6,1,4,0,37500,1,2,73675,16881.64321,2.421858727,0.13775457,0.7992298
2,37,1,0,0,4,0,1,9,0,0,1,5,1,56,2,1,0,1,1,180,6.75,3,4,5,0,4,7,5,3,4,0,100000,3,1,190313,34199.40476,2.417649767,0.08580445,0.9417853
2,30,1,1,0,5,1,1,12,0,3,1,5,2,96,5,1,1,1,1,200,3.75,3,1,3,0,3,3,8,4,3,1,120000,2,2,73675,16881.64321,2.421858727,0.13775457,0.7992298
1,29,1,1,0,2,1,1,16,2,4,0,5,1,40,0,0,0,0,0,240,5.75,3,5,1,0,2,9,9,3,4,1,200000,4,1,68775,14918.82297,2.21031746,0.14655349,0.6684875
2,45,0,0,0,5,0,1,6,8,0,1,2,1,70,2,0,0,0,0,120,6.75,2,1.5,2,0,3,10,5,3,4,1,41000,2,1,68775,14918.82297,2.21031746,0.14655349,0.6684875
1,53,1,0,0,5,0,1,6,8,0,1,4,1,40,2,0,1,0,1,300,3.25,2,3,4,0,4,5,7,1,2,1,41000,2,1,68775,14918.82297,2.21031746,0.14655349,0.6684875
